# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	14636
#@/user_id	ab1a0a9a-848f-4c46-9606-7e4acefc5a43
a 	啊	c=113 d=3.14348 t=14600
da kou jing 	大口徑	c=0 d=0.1 t=13
da lao 	大佬	c=1 d=1 t=2539
da luan 	大亂	c=1 d=1.09501 t=4222
da luan dou 	大亂鬥	c=3 d=2.95556 t=4229
da ma 	大麻	c=1 d=1 t=10102
da qian duan 	大前端	c=1 d=1 t=5971
da quan 	大全	c=1 d=1 t=11552
da ren 	達人	c=1 d=1 t=5006
da shi dai 	大時代	c=0 d=0.196079 t=24
da shou da jiao 	大手大腳	c=0 d=0.1 t=9
da suan 	打算	c=1 d=1 t=7417
da xiao 	大小	c=3 d=1 t=14229
da xie 	大寫	c=1 d=1 t=6111
da xue 	大學	c=10 d=1 t=13707
da xue sheng 	大學生	c=1 d=1 t=2408
da yin 	打印	c=5 d=1 t=13971
da yin chu lai 	打印出來	c=1 d=1 t=9511
da yu 	大於	c=3 d=2.98012 t=13466
da zhan 	大戰	c=1 d=1 t=3523
da zhang 	打仗	c=1 d=1 t=12800
da zhuan 	打轉	c=1 d=1 t=5924
dai 	代	c=1 d=1 t=2325
dai 	帶	c=8 d=1 t=14423
dai 	待	c=1 d=1 t=10269
dai a 	帶啊	c=1 d=1 t=1458
dai biao 	代表	c=1 d=1 t=12197
dai er 	戴爾	c=1 d=1 t=11297
dai hao 	帶好	c=1 d=1 t=3977
dai hui lai 	帶回來	c=0 d=0.1 t=12628
dai hui lai ba 	帶回來吧	c=1 d=1 t=12629
dai lai 	帶來	c=1 d=1 t=8104
dai li 	代理	c=3 d=1 t=11202
dai ma 	代碼	c=23 d=1.13071 t=14510
dai ru 	帶入	c=1 d=1 t=1142
dai shang 	帶上	c=1 d=1 t=2297
dai ti 	代替	c=3 d=1.00074 t=11196
dai ti pin 	代替品	c=3 d=2.9216 t=9618
dai wo 	帶我	c=1 d=1 t=10451
dai zhe 	帶着	c=1 d=1 t=9303
dai zou 	帶走	c=1 d=1 t=2019
dan 	但	c=3 d=1 t=7078
dan 	單	c=5 d=1.00062 t=9822
dan 	蛋	c=5 d=1.00023 t=14539
dan ci 	單詞	c=2 d=1 t=5673
dan du 	單獨	c=4 d=1 t=13195
dan fang mian 	單方面	c=1 d=1 t=11989
dan lian 	單鏈	c=1 d=1.01738 t=9814
dan lian biao 	單鏈表	c=1 d=1 t=9465
dan mu 	彈幕	c=3 d=0.101165 t=12788
dan ren 	擔任	c=2 d=1.00017 t=7551
dan shi 	但是	c=21 d=1.22108 t=14410
dan shou 	單手	c=2 d=1 t=12148
dan tiao 	單挑	c=1 d=1 t=12156
dan wei 	單位	c=6 d=2.81219 t=13910
dan xin 	擔心	c=3 d=1 t=14368
dan yuan 	單元	c=12 d=5.2659 t=13661
dan zhi 	單值	c=1 d=1 t=1308
dang 	當	c=1 d=1.08511 t=13763
dang 	黨	c=2 d=1.92774 t=10152
dang an 	檔案	c=17 d=13.5581 t=14213
dang le 	當了	c=1 d=1 t=12129
dang qian 	當前	c=1 d=1 t=6584
dang shi 	當時	c=1 d=1 t=514
dang tian 	當天	c=1 d=1 t=6877
dang wo 	當我	c=1 d=1 t=685
dang xing fu 	當幸福	c=1 d=1 t=13764
dang zhen 	當真	c=0 d=0.1 t=1057
dang zhong 	當中	c=1 d=1 t=8236
dao 	倒	c=1 d=1 t=5851
dao 	刀	c=13 d=1.03429 t=13024
dao 	到	c=24 d=1.07923 t=14246
dao de 	道德	c=1 d=1 t=5775
dao di 	倒地	c=2 d=1 t=7872
dao di 	到底	c=3 d=0.78982 t=8807
dao jia 	到家	c=1 d=1 t=14412
dao ju 	道具	c=0 d=0.1 t=1048
dao le 	到了	c=1 d=1.09005 t=5874
dao lu shang 	道路上	c=0 d=0.1 t=11416
dao na 	到哪	c=0 d=0.1 t=11996
dao na le 	到哪了	c=1 d=1 t=11997
dao pian 	刀片	c=1 d=1 t=13023
dao qian 	道歉	c=2 d=1.94649 t=11990
dao ru 	導入	c=2 d=1 t=8412
dao ru dao 	導入到	c=1 d=1 t=6056
dao ru shu ju 	導入數據	c=1 d=1 t=1771
dao shi 	倒是	c=2 d=1.19889 t=5499
dao shi hou 	到時候	c=4 d=1 t=13044
dao shu 	倒數	c=1 d=1 t=9015
dao yuan 	導源	c=1 d=1 t=9956
dao zhe 	到這	c=0 d=0.1 t=9326
dao zhi 	導致	c=1 d=1 t=5776
de 	得	c=10 d=1.85214 t=13048
de 	的	c=577 d=7.45821 t=14573
de ba 	得把	c=0 d=0.1 t=3299
de dao de 	得到的	c=1 d=1 t=13850
de di fang 	的地方	c=0 d=0.1 t=2278
de hua 	的話	c=3 d=1 t=14129
de jiang 	得獎	c=1 d=1 t=5529
de le 	得了	c=2 d=1.02746 t=10692
de ma 	的嗎	c=1 d=0.100865 t=14248
de shi hou 	的時候	c=1 d=1 t=10431
de shi jie 	的世界	c=0 d=0.1 t=6534
de shu ju 	的數據	c=1 d=1 t=286
de wen 	德文	c=1 d=1 t=5038
de yi zhi 	德意志	c=1 d=1 t=1772
deng 	凳	c=1 d=1 t=3391
deng 	等	c=17 d=1.12832 t=13330
deng hui 	等會	c=1 d=1 t=14549
deng hui ba 	等會吧	c=1 d=1 t=14592
deng ji 	登記	c=1 d=1 t=10556
deng ji 	等級	c=8 d=1 t=10554
deng ji biao 	登記表	c=2 d=1.14661 t=11347
deng lu 	登錄	c=18 d=1.00002 t=12908
deng lu yan zheng 	登錄驗證	c=1 d=1 t=1649
deng ren 	等人	c=1 d=1 t=10447
deng xia 	等下	c=1 d=1 t=9899
deng zhe 	等着	c=1 d=1 t=5439
di 	低	c=1 d=1 t=9588
di 	地	c=4 d=1.0002 t=4697
di 	底	c=2 d=1 t=13458
di 	蒂	c=1 d=1 t=3410
di 	迪	c=1 d=1 t=12076
di dao zhan 	地道戰	c=1 d=1 t=10111
di di 	地底	c=1 d=1 t=3128
di di 	滴滴	c=1 d=1 t=14473
di er 	第二	c=1 d=1 t=9016
di er ci 	第二次	c=1 d=1 t=3524
di er ge 	第二個	c=1 d=1 t=1532
di er tian 	第二天	c=1 d=1 t=9946
di er zhang 	第二章	c=1 d=1 t=8024
di fa 	底閥	c=1 d=1 t=3409
di fang 	地方	c=4 d=0.878816 t=14139
di fang le 	地方了	c=1 d=1 t=2059
di fang ma 	地方嗎	c=1 d=1 t=14140
di jia 	低價	c=1 d=1 t=6893
di lao 	地牢	c=1 d=1 t=4140
di qiu yi 	地球儀	c=1 d=1 t=4699
di qu 	地區	c=3 d=2.82458 t=4601
di san fang 	第三方	c=4 d=1.88686 t=6288
di shang 	地上	c=2 d=1 t=5161
di si zhang 	第四章	c=1 d=1 t=12047
di tie 	地鐵	c=2 d=1 t=4406
di tu 	地圖	c=2 d=0.100143 t=6159
di tu shang 	地圖上	c=1 d=1 t=5626
di wu 	第五	c=1 d=1 t=81
di wu zhang 	第五章	c=1 d=1 t=7934
di xia shi 	地下室	c=1 d=1 t=2084
di yi 	第一	c=2 d=1.00007 t=13269
di yi ci 	第一次	c=2 d=1.03239 t=14592
di yi ci shen qing 	第一次申請	c=1 d=1 t=14593
di yi dai 	第一代	c=1 d=1 t=12210
di yi ge 	第一個	c=1 d=1.08511 t=1512
di yi ge yuan su 	第一個元素	c=1 d=1 t=1513
di yi tiao 	第一條	c=1 d=1 t=825
di yi yan 	第一眼	c=1 d=1 t=5239
di yi ye 	第一頁	c=2 d=1 t=12881
di zhi 	地址	c=20 d=1.00158 t=14215
di zhi 	抵制	c=2 d=1.02497 t=8584
di zuo 	底座	c=1 d=1 t=5269
dian 	電	c=3 d=1.98151 t=12520
dian 	點	c=8 d=1 t=12936
dian che 	電車	c=5 d=1.04821 t=12077
dian chi 	電池	c=2 d=1.1836 t=2646
dian hua 	電話	c=3 d=1 t=9886
dian kai 	點開	c=1 d=1 t=8736
dian le 	點了	c=1 d=1 t=3343
dian li 	電力	c=1 d=1 t=9742
dian nao 	電腦	c=8 d=1 t=14241
dian nao le 	電腦了	c=1 d=1 t=11802
dian nao ma 	電腦媽	c=1 d=1 t=11549
dian nao shan zhuang 	電腦山莊	c=1 d=1 t=5706
dian nao shang 	電腦商	c=2 d=1.0008 t=11128
dian nao yong 	電腦用	c=1 d=1 t=3292
dian rong 	電容	c=0 d=0.1 t=13374
dian rong wang shang kan re ai de 	電容網上看熱愛的	c=1 d=1 t=13375
dian yi xia 	點一下	c=1 d=1 t=2238
dian ying 	電影	c=3 d=2.95581 t=10720
dian zi 	電子	c=1 d=1 t=13454
dian zi ban 	電子版	c=2 d=1 t=10561
diao 	吊	c=1 d=1 t=9372
diao 	掉	c=2 d=1.00001 t=6930
diao chong xiao ji 	雕蟲小技	c=1 d=1 t=11107
diao huan 	調換	c=2 d=1 t=14024
diao xia qu 	掉下去	c=1 d=1 t=3829
diao yong 	調用	c=1 d=1 t=6005
diao zhi 	調職	c=0 d=0.1 t=6928
diao zhi shang 	調職上	c=1 d=1 t=6929
die 	爹	c=2 d=1.58567 t=12293
ding 	丁	c=10 d=2.39208 t=12611
ding 	定	c=1 d=1 t=2873
ding 	訂	c=2 d=1.8311 t=3305
ding 	頂	c=1 d=0.107987 t=11590
ding ding 	定定	c=1 d=1 t=6849
ding gao 	定稿	c=3 d=1 t=12573
ding ji 	頂級	c=0 d=0.1 t=2737
ding ji de 	頂級的	c=1 d=1 t=2738
ding xiu qing xi 	頂秀清晰	c=8 d=4.27613 t=13658
ding xiu qing xi jia yuan 	頂秀清晰家園	c=1 d=1 t=13622
ding yue 	訂閱	c=3 d=1.98058 t=3379
ding zai 	定在	c=1 d=1 t=9565
ding zhi 	定製	c=3 d=1.00001 t=4195
diu 	丟	c=1 d=1 t=5647
dong 	動	c=3 d=1.05136 t=12894
dong 	懂	c=3 d=1.00517 t=10364
dong 	東	c=4 d=1.03561 t=12272
dong bei 	東北	c=1 d=1 t=10999
dong fa 	懂法	c=1 d=1 t=11604
dong ku 	洞窟	c=1 d=1 t=4115
dong le 	懂了	c=3 d=1 t=10365
dong lu 	東路	c=2 d=1.71177 t=173
dong si 	凍死	c=0 d=0.1 t=11418
dong si le 	凍死了	c=1 d=1 t=11419
dong tai 	動態	c=2 d=2.045 t=4950
dong tai gui hua 	動態規劃	c=4 d=1.99005 t=6438
dong wu 	動物	c=2 d=1.96079 t=4155
dong xi 	東西	c=8 d=1.65152 t=13399
dong xi ba 	東西吧	c=0 d=0.1 t=11074
dong xi ma 	東西嗎	c=2 d=1.0367 t=5701
dong xing lu 	東興路	c=1 d=1 t=13732
dong yi xia 	動以下	c=1 d=1 t=12895
dong zhi lin 	董峙麟	c=1 d=1 t=10895
dong zuo 	動作	c=0 d=0.1 t=5219
dong zuo zhi 	動作值	c=1 d=1 t=5220
dou 	都	c=34 d=2.26812 t=13946
dou 	鬥	c=4 d=2.22225 t=4661
dou bi 	都比	c=4 d=3.38242 t=1280
dou bu 	都不	c=1 d=1 t=1211
dou bu hui 	都不會	c=0 d=0.1 t=4237
dou gan ma 	都幹嘛	c=1 d=1 t=11039
dou guo le 	都過了	c=1 d=1 t=9516
dou hao 	逗號	c=2 d=1.00001 t=14294
dou hui 	都會	c=2 d=1 t=8422
dou kan 	都看	c=1 d=1 t=9341
dou mei le 	都沒了	c=1 d=1 t=12254
dou shi 	都是	c=9 d=1 t=11002
dou shuo 	都說	c=1 d=1 t=8787
dou xing 	都行	c=1 d=1 t=2499
dou yao 	都要	c=2 d=1.09005 t=10589
dou yao you 	都要有	c=1 d=1 t=10590
dou you 	都有	c=4 d=1.00082 t=13430
dou you shen me 	都有什麼	c=1 d=1 t=8624
dou yu 	鬥魚	c=1 d=1 t=3728
dou zai 	都在	c=1 d=1 t=2040
du 	度	c=2 d=0.126252 t=9572
du 	毒	c=3 d=1.63347 t=4597
du 	讀	c=3 d=1 t=13691
du lan te 	杜蘭特	c=1 d=1 t=11479
du li 	獨立	c=2 d=1.15882 t=8339
du qu 	讀取	c=3 d=1 t=14520
du shu 	讀書	c=0 d=0.1 t=10580
du shu jing li 	讀書經歷	c=1 d=1 t=10581
duan 	段	c=5 d=2.47563 t=12522
duan 	端	c=3 d=1.04649 t=7343
duan kou 	端口	c=6 d=4.03424 t=8754
duan luo 	段落	c=1 d=1 t=2991
duan qun 	短裙	c=1 d=1 t=9692
duan wang 	斷網	c=1 d=1 t=5234
duan xin 	短信	c=1 d=1 t=9461
dui 	堆	c=1 d=1 t=10965
dui 	對	c=33 d=1.01134 t=13792
dui bai 	對白	c=1 d=1 t=9712
dui bi 	對比	c=8 d=1 t=8010
dui bi liang ge shu 	對比兩個數	c=1 d=1 t=1450
dui chen 	對稱	c=1 d=1 t=7884
dui le 	對了	c=3 d=1 t=14449
dui mian 	對面	c=1 d=1 t=14610
dui xiang 	對象	c=2 d=1.00104 t=6053
dui ya 	對呀	c=1 d=1 t=4545
dui ying 	對應	c=1 d=1 t=10322
dui zhe 	對着	c=1 d=1 t=1776
dui zhe ge 	對這個	c=1 d=1 t=4467
dun hao 	頓號	c=3 d=1 t=12041
duo 	多	c=6 d=1.00005 t=10661
duo 	躲	c=1 d=1 t=5689
duo bei 	多倍	c=1 d=1 t=5525
duo chang 	多長	c=1 d=1 t=6145
duo da 	多大	c=2 d=1.98511 t=13758
duo dian 	多點	c=1 d=1 t=1927
duo dui 	多對	c=1 d=1 t=6125
duo duo 	多多	c=1 d=1 t=10314
duo fen 	多分	c=0 d=0.1 t=7678
duo ji 	多級	c=1 d=1 t=6473
duo jiu 	多久	c=1 d=1 t=9632
duo ke hu 	多客戶	c=1 d=1 t=8305
duo kuai 	多快	c=1 d=1 t=9472
duo le 	多了	c=2 d=1.01162 t=5140
duo shao 	多少	c=5 d=0.1 t=14112
duo shao fen 	多少分	c=1 d=1 t=9746
duo shao lai zhe 	多少來着	c=1 d=1 t=10610
duo shao shu ju ku 	多少數據庫	c=1 d=1 t=9059
duo shao sui le 	多少碎了	c=1 d=1 t=11379
duo shao tian 	多少天	c=1 d=1 t=7423
duo shao zhong guo ren 	多少中國人	c=1 d=1 t=14113
duo shao zi jie 	多少字節	c=1 d=1 t=5957
duo shu 	多數	c=1 d=1 t=8289
duo yu 	多餘	c=1 d=1 t=3193
e 	額	c=3 d=1 t=14376
e chou 	惡臭	c=1 d=1 t=10267
e luan shi 	鵝卵石	c=1 d=1 t=5925
e mo 	惡魔	c=1 d=1 t=4145
e xin 	噁心	c=1 d=0.100138 t=10294
e xin si 	噁心四	c=1 d=1 t=4480
e xin xin 	噁心心	c=1 d=1 t=10295
e yu 	鱷魚	c=1 d=1 t=5031
en 	恩	c=3 d=1 t=12880
en en 	嗯嗯	c=5 d=1.00004 t=14598
en na 	恩納	c=1 d=1 t=10662
er 	二	c=2 d=1.08848 t=1564
er 	兒	c=1 d=1 t=5014
er 	而	c=1 d=1 t=1565
er ci 	二次	c=7 d=1 t=13917
er ci yan zheng 	二次驗證	c=1 d=1 t=3453
er duo 	耳朵	c=0 d=0.1 t=14421
er duo teng 	耳朵疼	c=2 d=1.98511 t=14425
er hua yin 	兒化音	c=1 d=1 t=5603
er ji 	耳機	c=2 d=1.92774 t=9319
er mian 	二面	c=2 d=1.98511 t=9564
er qie 	而且	c=1 d=1 t=6873
er sai 	耳塞	c=1 d=1 t=5086
er zhan 	二戰	c=3 d=1.26054 t=7370
er zi 	兒子	c=0 d=0.1 t=4833
fa 	法	c=3 d=1.8825 t=7879
fa 	發	c=15 d=1.8965 t=14122
fa biao 	發表	c=1 d=1 t=5636
fa bu 	發佈	c=1 d=1 t=5934
fa bu hui 	發佈會	c=1 d=1 t=5624
fa che 	發車	c=1 d=1 t=2440
fa dao 	發到	c=1 d=0.1 t=14150
fa dao le 	發到了	c=1 d=1 t=14151
fa dou 	發抖	c=1 d=1 t=10343
fa gei 	發給	c=1 d=1 t=10495
fa gei ni 	發給你	c=0 d=0.197531 t=3076
fa gei ni ba 	發給你吧	c=1 d=1 t=3072
fa gei ni ma 	發給你嗎	c=1 d=1 t=3077
fa gei ta le 	發給他了	c=1 d=1 t=1473
fa gei wo 	發給我	c=0 d=0.1 t=7692
fa guang 	發光	c=1 d=1 t=5270
fa guo qu 	發過去	c=1 d=1.09005 t=8707
fa guo qu le 	發過去了	c=1 d=1 t=8708
fa huo 	發貨	c=1 d=1 t=2564
fa le 	發了	c=2 d=1 t=9947
fa li 	發力	c=1 d=1 t=8648
fa piao 	發票	c=1 d=1 t=2313
fa re 	發熱	c=1 d=1 t=1883
fa sheng 	發生	c=2 d=1 t=9789
fa sheng jiao huan 	發生交換	c=1 d=1 t=1021
fa sheng le 	發生了	c=1 d=1 t=1014
fa xian 	發現	c=8 d=1 t=14586
fa xiao xi 	發消息	c=1 d=1 t=7421
fan 	煩	c=2 d=1 t=10339
fan 	飯	c=4 d=1.015 t=11983
fan cha 	反差	c=1 d=1 t=9697
fan er 	反而	c=1 d=0.662705 t=1514
fan fu 	繁複	c=1 d=1 t=7772
fan gan 	反感	c=1 d=1 t=11272
fan hui 	返回	c=5 d=1 t=7942
fan le 	犯了	c=1 d=1 t=12799
fan shou 	反手	c=1 d=1 t=9176
fan tan 	反貪	c=1 d=1 t=11452
fan xin 	翻新	c=1 d=1 t=8022
fan xing 	泛型	c=1 d=1 t=14000
fan ye 	翻頁	c=1 d=1 t=5437
fan yi 	翻譯	c=4 d=1.82509 t=8795
fan zheng 	反正	c=2 d=1 t=10286
fan zhi 	繁殖	c=2 d=1 t=6541
fan zhuan 	反轉	c=1 d=1 t=7517
fan zhuan ne 	反轉呢	c=1 d=1 t=5440
fang 	放	c=4 d=1 t=14170
fang 	方	c=4 d=1 t=11973
fang an 	方案	c=3 d=1 t=11271
fang bian 	方便	c=3 d=1 t=10297
fang bu xia 	放不下	c=1 d=1 t=7826
fang dao 	放到	c=1 d=1 t=1288
fang fa 	方法	c=4 d=1 t=14513
fang huo 	防火	c=0 d=0.1 t=3595
fang huo dai 	防火帶	c=1 d=1 t=3596
fang jia 	房價	c=0 d=0.1 t=14551
fang jia 	放假	c=1 d=1 t=14606
fang ju 	防具	c=1 d=1 t=4687
fang mi na 	放米納	c=2 d=1 t=12494
fang mian 	方面	c=2 d=1 t=12495
fang ping 	放平	c=0 d=0.1 t=9330
fang ping xin tai 	放平心態	c=1 d=1 t=9331
fang shi 	方式	c=2 d=1 t=14239
fang wen 	訪問	c=11 d=2.51967 t=9504
fang xiang 	方向	c=2 d=1.97531 t=7473
fang xiang jian 	方向鍵	c=1 d=1 t=10081
fang xin 	放心	c=1 d=1 t=11987
fang zai 	放在	c=2 d=1 t=13360
fang zai na li 	放在那裏	c=1 d=1 t=4192
fang zhe 	放着	c=1 d=1 t=10229
fang zheng 	方正	c=2 d=1.99005 t=906
fang zhi 	防止	c=1 d=1 t=1783
fang zi 	房子	c=1 d=1 t=14372
fei 	非	c=1 d=1 t=7388
fei 	飛	c=1 d=1 t=1970
fei chang 	非常	c=3 d=1.81873 t=12543
fei chang da 	非常大	c=0 d=0.1 t=9354
fei ji 	飛機	c=5 d=1.99501 t=9825
fei shu 	飛書	c=6 d=2.51185 t=14636
fei wu 	廢物	c=3 d=2.76931 t=6798
fei xue 	飛雪	c=2 d=1 t=14045
fei zhai 	肥宅	c=1 d=1 t=3747
fen 	份	c=5 d=3.53376 t=13514
fen 	分	c=1 d=1 t=9364
fen 	粉	c=1 d=1 t=4240
fen 	糞	c=2 d=1.99005 t=3913
fen bian lv 	分辨率	c=1 d=1 t=2679
fen bie wei 	分別爲	c=1 d=1 t=8357
fen cheng 	分成	c=0 d=0.1 t=6146
fen ge 	分割	c=1 d=1 t=5362
fen hao ne 	份好呢	c=1 d=1 t=7807
fen hong 	分紅	c=2 d=1.00042 t=4234
fen hong 	粉紅	c=1 d=1 t=2681
fen lei 	分類	c=4 d=1.99501 t=14032
fen pei 	分配	c=1 d=1 t=5764
fen tan 	分攤	c=3 d=1.96562 t=8069
fen xi 	分析	c=9 d=1.00011 t=8355
fen xi na ge 	分析哪個	c=1 d=1 t=6568
fen xiang 	分享	c=1 d=1 t=6570
fen ye 	分頁	c=1 d=1 t=12019
fen zhi 	分支	c=5 d=4.20235 t=6585
fen zhong 	分鐘	c=1 d=1 t=11908
fen zi 	分子	c=1 d=1 t=4998
feng 	峯	c=9 d=1.98187 t=13961
feng 	風	c=2 d=1.07045 t=10716
feng bao 	風暴	c=1 d=1 t=2461
feng le 	封了	c=1 d=1 t=1982
feng shan 	風扇	c=0 d=0.1 t=3949
feng shan zhuan 	風扇轉	c=1 d=1 t=3950
feng wo 	蜂窩	c=1 d=1 t=2001
feng zhuang 	封裝	c=1 d=1 t=8239
fo tiao qiang 	佛跳牆	c=1 d=1 t=7738
fo zu 	佛祖	c=0 d=0.1 t=7659
fou 	否	c=8 d=7.0266 t=13627
fu 	副	c=1 d=1 t=12347
fu 	服	c=1 d=1 t=5354
fu fei 	付費	c=2 d=1.81465 t=377
fu hao 	符號	c=2 d=1 t=8914
fu he 	符合	c=1 d=1 t=7985
fu jian 	附件	c=5 d=1 t=4848
fu jin 	附近	c=1 d=1 t=10148
fu mu 	父母	c=1 d=1 t=6786
fu neng liang 	負能量	c=2 d=1.7788 t=6814
fu nv 	婦女	c=0 d=0.1 t=1229
fu nv cun 	婦女村	c=1 d=1 t=1230
fu po 	富婆	c=1 d=1 t=5226
fu ru 	腐乳	c=1 d=1 t=11448
fu wen 	符文	c=1 d=1 t=4112
fu wu 	服務	c=9 d=1.33287 t=12720
fu wu duan 	服務端	c=11 d=1 t=12485
fu wu jie kou 	服務接口	c=1 d=1 t=1806
fu wu qi 	服務器	c=28 d=2.88839 t=12707
fu xi 	複習	c=2 d=1.99005 t=9559
fu yin 	複印	c=3 d=1.86107 t=13885
fu yin jian 	複印件	c=10 d=3.5926 t=13889
fu za du 	複雜度	c=2 d=1.30119 t=1378
fu ze 	負責	c=7 d=1.96564 t=8066
fu ze ren 	負責人	c=0 d=0.1 t=5821
fu zhi 	複製	c=3 d=1 t=13174
fu zhi 	負值	c=2 d=1.08892 t=1790
fu zhi 	賦值	c=3 d=1 t=14298
fu zhi chu qu 	複製出去	c=1 d=1 t=9404
fu zhi dao 	複製到	c=1 d=1 t=7117
fu zhi de 	複製的	c=1 d=1 t=7782
fu zhu wei 	副主委	c=1 d=1 t=1789
gai 	改	c=26 d=1.01508 t=13918
gai 	蓋	c=3 d=1.00193 t=11220
gai 	該	c=5 d=1.23693 t=13011
gai bian 	改變	c=1 d=1 t=6552
gai cheng 	改成	c=2 d=1 t=12898
gai dong 	改動	c=1 d=1 t=6564
gai jin 	改進	c=1 d=1 t=11338
gai le 	改了	c=4 d=1 t=10602
gai mo kuai 	該模塊	c=1 d=1 t=8437
gai shu 	概述	c=1 d=1 t=6026
gai wei 	改爲	c=1 d=1 t=3017
gai xia 	改下	c=1 d=1 t=12878
gai zhang 	蓋章	c=1 d=1 t=59
gan 	幹	c=2 d=1 t=12106
gan 	肝	c=2 d=1.956 t=4657
gan ga 	尷尬	c=1 d=1 t=11971
gan ga si le 	尷尬死了	c=1 d=1 t=3473
gan gang 	乾剛	c=1 d=1 t=13830
gan huo 	幹活	c=0 d=0.1 t=13342
gan huo qu ba 	幹活去吧	c=1 d=1 t=13343
gan ji bu jin 	感激不盡	c=1 d=1 t=6315
gan jin 	趕緊	c=4 d=1.20598 t=11972
gan jin lai 	趕進來	c=2 d=1.39653 t=9551
gan jue 	感覺	c=16 d=1.02889 t=10265
gan jue ni 	感覺你	c=1 d=1 t=5042
gan ma 	幹嘛	c=2 d=1.03735 t=11720
gan sha 	幹啥	c=1 d=1 t=13213
gan shen me 	幹什麼	c=2 d=1.00005 t=11048
gan xie 	感謝	c=3 d=1.68294 t=7275
gan xing qu 	感興趣	c=1 d=1 t=5897
gang 	剛	c=13 d=1.07303 t=14534
gang 	鋼	c=2 d=1 t=11521
gang ban 	港版	c=1 d=1 t=5022
gang bi ye 	剛畢業	c=1 d=1 t=11036
gang cai 	剛纔	c=1 d=1 t=7690
gang chi wan 	剛喫完	c=1 d=1 t=14535
gang gang 	剛剛	c=4 d=1.00269 t=13831
gang hui lai 	剛回來	c=1 d=0.24808 t=3536
gang hui lai wan 	剛回來玩	c=1 d=1 t=3537
gang jin lai 	剛進來	c=1 d=1 t=4343
gang lai 	剛來	c=1 d=1 t=12086
gang peng dao 	剛碰到	c=1 d=1 t=4472
gang shuo 	剛說	c=1 d=1 t=8971
gang wei 	崗位	c=3 d=1.89422 t=7317
gao 	搞	c=3 d=1.65705 t=11640
gao 	稿	c=1 d=1 t=13079
gao 	高	c=5 d=1 t=13461
gao bu dong 	搞不懂	c=1 d=1 t=1330
gao de 	搞得	c=2 d=1.00023 t=1881
gao ding le 	搞定了	c=1 d=1 t=2473
gao du 	高度	c=4 d=1 t=13119
gao ji 	高級	c=7 d=2.85157 t=12383
gao ji gong cheng shi 	高級工程師	c=2 d=1.03422 t=12512
gao ji gong neng 	高級功能	c=3 d=1 t=8876
gao jian 	稿件	c=1 d=1 t=12046
gao liang 	高亮	c=1 d=1 t=4041
gao shou 	高手	c=1 d=1 t=9420
gao su 	告訴	c=0 d=0.1 t=14525
gao su ni 	告訴你	c=1 d=1 t=2415
gao su wo 	告訴我	c=0 d=0.1 t=3496
gao su wo le 	告訴我了	c=1 d=1 t=14526
gao xiao 	搞笑	c=1 d=1 t=9927
gao xiao 	高校	c=1 d=1 t=9926
ge 	個	c=19 d=1.62154 t=14612
ge 	哥	c=9 d=1.45385 t=14459
ge ci 	歌詞	c=1 d=1 t=5938
ge ge 	各個	c=3 d=1.15335 t=11172
ge ge 	哥哥	c=2 d=1.93707 t=9325
ge kai 	隔開	c=1 d=1 t=5361
ge li 	隔離	c=1 d=1 t=9808
ge men 	哥們	c=1 d=1 t=14611
ge qian 	擱淺	c=0 d=0.1 t=2129
ge ren 	個人	c=8 d=3.19357 t=14219
ge ren bo ke 	個人博客	c=1 d=1 t=648
ge ren xin xi 	個人信息	c=2 d=1.00407 t=12682
ge shi 	格式	c=14 d=1.5933 t=13459
ge shi hua 	格式化	c=2 d=1 t=11777
gei 	給	c=22 d=1.39068 t=14465
gei chu 	給出	c=2 d=1.0009 t=10525
gei ci 	給賜	c=1 d=1 t=5937
gei ni 	給你	c=8 d=1.00407 t=13302
gei ni fa 	給你發	c=1 d=1 t=3324
gei ta 	給他	c=1 d=1 t=11784
gei wo 	給我	c=4 d=1.00033 t=13246
gei wo kan kan 	給我看看	c=1 d=1 t=11722
gei wo yi ge ba 	給我一個把	c=1 d=1 t=7659
gei yi ge 	給一個	c=1 d=1 t=5597
gen 	跟	c=4 d=1 t=12035
gen ben 	根本	c=8 d=1.01641 t=12165
gen ju 	根據	c=2 d=1 t=8461
gen ni 	跟你	c=1 d=1 t=9309
gen wo 	跟我	c=3 d=1.00076 t=11977
gen zi ji 	跟自己	c=1 d=1 t=2432
geng 	更	c=3 d=1 t=12227
geng gai 	更改	c=1 d=1 t=6566
geng hao 	更好	c=1 d=1 t=7106
geng huan 	更換	c=1 d=1 t=4951
geng jia 	更加	c=1 d=1 t=8231
geng jian dan 	更簡單	c=1 d=1 t=245
geng xin 	更新	c=7 d=0.1 t=14253
geng xin hou 	更新猴	c=1 d=1 t=5410
geng xin le 	更新了	c=1 d=1 t=14254
gong 	工	c=5 d=1.03332 t=14561
gong 	攻	c=3 d=1.99005 t=4554
gong cheng 	工程	c=2 d=1 t=11610
gong cheng shi 	工程師	c=16 d=1.00268 t=13778
gong ji 	攻擊	c=2 d=1.00001 t=5692
gong jiao 	公交	c=1 d=1 t=10393
gong ju 	工具	c=10 d=1 t=14486
gong nen 	共嫩	c=1 d=1 t=1636
